no.,title,date,time,planner,category,tag,comment,keyword
#126,酷暑だわっしょい！アフレコ企画！,2019/8/17,80分〜,,,酢そうめん　メンダコ太郎　すぎる2nd　M75　フレッシュ　志村犬　俺は蓋を知ってるから　見てみんさい　やりたかっただけだろ,・もし自分がワールド１−１を攻略することになったら・ナポ男の勝手に都市伝説,
#127,蘭たんに届いた１通のホラービデオ,2019/8/24,70分〜,蘭たん,,おねじり様　日向ネジ　デスブログ　あらへんわ　あるよぉ！　英語2　長老　パンで挟まれる,・どう森完結しました・ナポ男のあったな〜王決定戦,
#128,shu3の「ナポ男、夏の終りの２日間」,2019/9/7,80分〜,shu3,,子象　百姓スタイル　音割れ＿なんで＿【検索】　^ム^　実況ミュータント　メキシコの塩　ぎぢゅちゅしゃ　ｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞｱﾞ　詠唱破棄,・大阪テングッズ紹介！・ナポ男の身近な疑問,
#129,すぎるの騒音チェック,2019/9/14,70分〜,すぎる,,任天堂ゲーム配信　あなたの願い叶えましょう　551　新聞をめくる音　温めたいですか？　ｼｬｽﾝ　｢え？｣｢え？｣｢え？｣,・ナポ男の未解決事件・こういう時あなたならどうする？・大阪ええやん,
#130,3人からの難問! hacchiのオシャレぢから診断,2019/9/21,80分〜,hacchi,,部族（辛さの単位）　レアすぎる　あ、ハゲてる　骨董品屋　死に装束　カプサイシンは脂溶性　すぎるの声変わり,・ナポ男のチャレンジ報告,
#131,初心者でもイキれる！蘭たんのコーヒー入門,2019/9/28,100分〜,蘭たん,,ｽﾎﾟﾝｽﾎﾟﾝｽﾎﾟﾝ　豆パスラー　mug3　細gucchiケトル　メンマ　深刻なイケメン化　ギリギリchop　ストームコーラーすぎる,・動画があがりました,
#132,増税も吹っ飛ばせ！shu3のB級動画炸裂！,2019/10/5,80分〜,shu3,,ナポリレース　CMが本編　媚びない　舐められるマン　この穴にね！　おむすびころりん　マックが大好きやからやそれは,・ナポリテン開催中です・めっちゃ媚びてしまった・ナポ男と運動会・実況中のハプニング,
#133,すぎるの愛情弁当（秋）,2019/10/12,80分〜,すぎる,,m字開脚　shu3ベビー　街角shu3　高槻のジャムおじさん　弁当回　（優しい笑顔）　shu活　内部点　お料理回,・街角のshu3を捜せ・ナポ男のおすすめ,
#134,秋の夜長！言葉の発想力ゲームで遊ぶわよ！,2019/10/19,80分〜,ナポリ,,野タオル　すき焼き論争　ナポリテン　乳首万能説　乳牛　乳首バレ　ジャック・オ・まんたん　ヤパリ…　プリ男,・ナポリテン無事終わりました、ありがとうございます,
#135,蘭たんが前世占いに行って前世を体験してきたぞ！,2019/10/26,80分〜,蘭たん,,前世占い　大蛇丸　おにぎり論争　ヘビーカッパー　ボー,・ナポ男のおすすめ・俺の萌え・スマホが無い時代の暇つぶし,
#136,文化の秋！ナポ男合唱団公演会（指揮者：shu3）,2019/11/2,80分〜,蘭たん,,神回　ぼくも（わたしも）　特殊ED回　ボブ　ノミみたいな桑田佳祐　卵　音程の取れた工事現場　Mr.コメディ　蘭ルモ,・ナポ男の無個性化選手権・ごはんに合うわ〜,
#137,発足！すぎもと新喜劇,2019/11/9,80分〜,すぎる,,座長！　ワンタン　くるぞ…　問題作　牛の頭　3人目のアフロ　ちらおじ　新喜劇　雀の死骸…？,・ナポ男の理想の立地・ナポ男のルーティーン,
#138,hacchiの心に残るひとこと,2019/11/16,80分〜,hacchi,,絶起　エアポートおじさん　KP(長渕)　スピードスター　ロウ・メイカー　故に00　おじギャグ　不覚にも　きくらげ,・ナポ男の恥ずかしい過去の遺産・JK用語クイズ2019,
#139,蘭たんのやってみたかったゲーム『トモダチコレクション』をやってみた,2019/11/23,90分〜,蘭たん,,トモダチコレクション　任天堂ゲーム配信　コナン回　ハワイ万能説　動物畜生　肛門扱い　砂山の利害関係,・直したい癖・ナポ男のゲームプレイ分析、あなたはどっち派？,
#140,みんなで遊ぼう「なぽりしょうぎ」,2019/11/30,80分〜,ナポリ,,トモダチコレクション　どす恋!　2way　任天堂ゲーム配信　スパム事件　屁こきのshu,・ナポリのともだちコレクション・祝！「どす恋」漫画化,
#141,すぎる制作『ナポ男理想の少女漫画』,2019/12/7,80分〜,すぎる,,アナザーガール！　トモダチコレクション　ぺれちゃん　うれション黙示録第3章　女騎士　任天堂ゲーム配信,・初代ゲームボーイの思い出・もし旅先でコナンに絡まれたら・緊急議論！エロに打ち勝つには？,
#142,hacchiサンタのわくわく手作りプレゼント,2019/12/14,80分〜,hacchi,,"トモダチコレクション　任天堂ゲーム配信　あ""る""っ!!　ランタンパープル　パすぎる　ファッキンドリンク　すぎるvs塩　見てるよゴエモン",・ナポ男流行語大賞2019・有能パシリ選手権・がんばれゴエモンの『がんばれ』とは？,
#143,ナポリの男たちの「どす恋」,2019/12/21,80分〜,ナポリ,,トモダチコレクション　任天堂ゲーム配信　P・T・N　今日だけは主役　どす恋！　ターボまな　ペンチマン　そやったな！　神回,・俺的ゲームオブザイヤー・大人になったと感じた瞬間,
#144,年末ヒットソングメドレー2019,2019/12/28,90分〜,蘭たん,,RING-TONE　横浜哀恋慕　KAKUGARI_RAP_BATTLE　年末ヒットソング回　乱れたシーツ　腕出せ！　おっさんしかいないんだもん！　特殊ED回,・来年の抱負・今年の振り返り・今年のチャンネル放送お気に入りシーン,
#145,新春！ほのぼのモルック大会,2020/1/4,80分〜,ナポリ,,レッドアリーマー　蘭たん（鈴木福）　モルック　トモダチコレクション　任天堂ゲーム配信　スリーピング・シティ　おたま(蘭たん)　すぎる(親鸞上人)　特殊ED回,・年末ヒットソングボツ曲披露・ナポ男の初夢・年末年始,
#146,すぎるの連れてきたAIに色々教えてあげよう,2020/1/11,80分〜,すぎる,,トースパン　AIちゃん　老害ヨゴレ実況グループ　アスホール　おっさんずファブ　神回　からあげ,・ナポ男のおみくじ事情・２０２０はこれが来る！・ナポ男の今年欲しい物・今年一番〇〇だったこと,
#147,hacchiが前世占いに行って前世を体験してきたぞ！,2020/1/18,80分〜,hacchi,,トモダチコレクション　任天堂ゲーム配信　下品ザマス　ポン酢ごはん　オワリイズム　#ネオエクスデス　背骨みたいに長い沢庵　スピリチュアル回　アンラッキー,・hacchiの前世予想・ナポ男のストイック飯・ジャンプ新連載予想,
#148,スリーピング・シティのPVを作ろう,2020/1/25,80分〜,蘭たん,,スリーピング・シティ　PV:63:00〜　スモーキング・シティ　肩幅刑事　鼻つまってない！（完）　副流煙　神回　レッドマン　怖いか？,・どす恋アフレコ動画公開！・試験の思い出・できる男の見分け方・高級品と安物の違い・・・？,
#149,蘭たんプレゼンツ！すぎるの例の癖を検証企画,2020/2/2,80分〜,蘭たん,,GENKINさん　飛騨の怪物　心ッ臓　ほぞかみん　マグナム　後付け乳首　あの日の夕焼け空?♪　ドスケベ忍者☆揉み丸,※一部動画内に通信アプリの通知が映り込んでしまっています、申し訳ありません。（内容は問題の無いものです）　・他の3人にハンドルネームをつけよう・先輩に奢るよと言われてどこまで攻めるか・身体の一部を機械化できたなら,
#150,ナポリカレンダー2020を作ろう,2020/2/9,80分〜,ナポリ,,わかる星人　サガット　千刷り　トランクス　野武士　海神　ポセイドン　血に染まったスニーカー　独立していいですか？,・最近知った世間の常識・写真を撮る時のポーズ・最近失くして辛かったもの,
#151,ナポ男のお菓子作りに挑戦,2020/2/16,90分〜,ナポリ,,タキシード仮面　タッチマン　ナッツイーター　トースパン　がんばれ！ナポリの男たち！　神回　放送事故　デブの始まり　すぎる(視聴者)　お料理回,※今回はコメント付き動画の録画をしていなかったのでコメントなしです。ごめんなさい！　・周りに言うと驚かれる我が家の普通・ドラマになったら誰に演じて欲しい？・ナポ男の〇〇やめたい,
#152,語り部（かたりべ）：shu3,2020/2/23,80分〜,shu3,,暗いカレー屋　実況の悪魔　ハニカミ少年　黒歴史回　スタジオ　余りエピソード　居残り給食　イワシ　鬼野菜,・人生グラフを描いてみた・地味に孤独を感じる瞬間,
#153,NYで話題沸騰のエクササイズにすぎるが挑戦してきた,2020/2/29,90分〜,すぎる,,EAT_ME　ふいっとねす　ダンス　おらの大失態　みんなのすぎちゃん　ボブ送り　神回　撮れ高の化け物　許せない,・1年前に何してた？・犬猫ぐらいの大きさだったら飼いたい生き物・高校に上がる時に気を付けるべきこと,
#154,お邪魔するぜ！ hacchi&shu3なぽり旅(山梨編),2020/3/14,90分〜,ナポリ,,ロウ(ゲーム動画実況者)　朝日奈あや　タラの芽事件　がぶ飲みメロンソーダ　影NG　パーカータッチマン　勝ちぃ…　アナゴさん　エッグマン,・1週間今日の一枚,
#155,今更！オープニングジングルを作ろう回,2020/3/22,70分〜,ナポリ,,ベタコーン！　拍手　兄上　鍬使いのhacchi　ライト(右)ユーザー　企画_54:30　老害回　かけ、かけ、はむｫﾝ、はし、はしﾝ…,・チキンライスにグリンピース入れる奴が普段やってそうなこと・地味に自信があること・近頃の若いもんは,
#156,ナポリの男たちch 人気企画投票結果発表,2020/3/29,80分〜,ナポリ,,ジョニーさん　座薬　PSVITA　FF7リメイク　イマジナリーバレット　麦茶のゾンビ　ジャックさん　shu3票,・FF7RのCMに出演しました・人気投票ベスト３予想・私物シルエットクイズ,
#157,ナポリの男たち春の抜き打ち学力テスト,2020/4/4,100分〜,,,エホイヤ人　What's?　モザイクの海　ナポリの男たち　神回　アイスクリームの話　本人巡回済み　赤ペンチ先生,・私物シルエットクイズ・ランキング穴埋め,
#158,ナポ男の勝手にLINEトーク捏造,2020/4/11,80分〜,ナポリ,,黒歴史　事故（屁）　カニグラタン　特殊ED　シャバ僧　サバ缶　ミップ　ポカポカマン,・納得いってないおふくろの味・子供の頃ついた謎の嘘・入学式の思い出,
#159,すぎると一緒におうちで声出してみよう,2020/4/18,80分〜,すぎる,,ブタゴリラ　発注ミス　こぶとり爺さん(比喩)　ジジイ　伊達四人男衆　歌舞伎　確かに,・ブタゴリラあるないクイズ・おすすめの漫画・クイズ・暇すぎてやったこと,
#160,アラサー集団、知育菓子で遊ぶ,2020/4/25,80分〜,ナポリ,,知育菓子　毛抜き　デイビッド　牛乳ビン　上下アフロ　腕（かいな）一本　えなりシンジ　お料理回,・道具のいらない一人遊び・時間の潰せるウェブサイト・懸賞でもらったことあるもの,
#161,日本ナポリばなし〜雄すぎ〜,2020/5/9,80分〜,hacchi,,豚畜生先生　全肯定すぎる　神回　清掃のおじさん回　正義マン　雄すぎ　発注ミス　ブラックホール,・外出規制が終わったらやりたいこと・好きなトッピング・印象に残ってるHN,
#162,ナポ男のバンドメンバー紹介,2020/5/16,80分〜,,,リッツでパーティなんてするかバカ　シャドウバイキングタイガークロウ　レッドアリーマー　夢精　栃木(茨城)　すぎる（すぎる）　皆飛び道具　上級者向けナポリの男たち　映画話,・一生食い続ける食い物・使えるようになりたい技・漫画アニメで覚えてる雑学,
#163,ナポリ歌劇団『ナポンヌのムスカリ』,2020/5/23,70分〜,蘭たん,,ナポンヌのムスカリ　透明感　チーケー　嗚呼、美しきナポンヌ　射出台　課題曲　神回,#162は録画音声に問題があったので解決次第投稿します　・俺が1番〇〇だ・カタカナなしで説明してみよう,
#164,ナポンヌボツ曲披露＆ほのぼの絵心対決,2020/5/30,100分〜,ナポリ,,仮歌披露会　ナポンヌのムスカリ　2位争い　深刻な素材不足　ナポリ歌劇団　両津トトロ　スグールスロット　村一番の乳首,・ゲームでのトラウマ・緊急討論！男に乳首がある理由,
#165,shu3の挑戦状『すぎる邸から脱出せよ』,2020/6/6,80分〜,shu3,,おっさんの3　失禁の男たち　hacchi(単位)　ッタォァ…　しょわ?ほかほか　野良　公式巡回済み　世界一の拍手,・ナポ男のおすすめ,
#166,クイズ持ち寄り大会,2020/6/13,90分〜,ナポリ,,20世紀中年　町内会　あっくん　おじゃがキッチン　老人会　昭和ジジイがしゃしゃってダル　ぽっち　みじめゾ,・ナポ男の物持ち自慢,
#167,立体音響ホラー『SUGIRU HAZARD』,2020/6/27,80分〜,すぎる,,立体音響　感嘆符みたいな声　寝ろやぁ！(泣)　いくじなしが！　ほんまに？　無免ワイパー　ツッコミが追いつかない　じゃれあう象　ガン無視刑事,・１０万円の使い道・全力で逃げたこと・お疲れさま禁止令・６月のイベントを考えよう,
#168,史上最大のモノマネバトル,2020/7/4,70分〜,,,神回　ナポリの男たち　声帯3LDK　「手拍子して」　大おっさん　貼れよ！　確定ガチャ　蘭ルモ　陽水！陽水！,・おばあちゃんのこめかみの白いやつってなに？・のびたのめがねでかすぎ問題・クルーザーの魅力,
#169,hacchi王を決めろ！hacchi100問クイズ,2020/7/11,80分〜,hacchi,,ナポ男100問クイズ　hacchi100問クイズ　髪採用　みぞおちをドーン！　合気道の間合い　アラ！…………,・この３人と古着屋やりたい・ナポリ公式ランキングを作ろう,
#170,ナポ男なんでも相談室,2020/7/18,90分〜,,,虚無　祈り　神回　蘭太郎　しんどいか　ボイチェン回　すぐる(19)　ヨッシー　とことんヨッシー,・イメージで作る〇〇の1日,
#171,ぺちゃぽレースで遊ぶわよ,2020/7/25,130分〜,,,ぺちゃぽ　Cパート　玉突き事故　心無いアンドロイド　悪魔　ギャン泣きNo.1　モー男。　ハッピープレイス　死ゾ,・好きだったCM・人生で一番美味しかったもの・人生で一番感動したもの,
#172,スーパー絵描き歌コンテスト,2020/8/1,100分〜,,,じゃけん　天才的な運動音痴　お母さんそれ大っ嫌い　やってますね（現在進行形）　死後なれるかな…　剛を制さん柔　結果、誰？　いたんだよね　神回,・ナポ男の運動音痴王・モテたくてやったこと・ふと見かけた謎行動,
#173,お絵かき心理テストで遊ぶわよ,2020/8/8,100分〜,,,お絵描き心理テスト　チョコペぇ　あいじん　49位豚の角煮　手に余る　shu3(貫通)　ご立派よ　蘭ルモ,・お菓子ランキング・食レポ選手権,
#174,【週刊ナポリ】すっぱ抜き！「すぎるの隠された顔」,2020/8/15,80分〜,,,ｱﾀｼｨｰ?！　俺の財布があらへん　東洋のエル・ドラド(乳首)　ザリガニ　ド陰キャ　オス臭　守護霊まで吸われてる　池まるごと吸う番組　たった一人のすぎる,・何属性が一番かっこいいか・こんなシチュエーションに憧れる・個人的明るいニュース・お菓子ランキング,
#175,すぎるのナポリウェーイwww化計画,2020/8/22,100分〜,すぎる,,特殊ED回　一夜限りの魔法　神回　笑うな悪魔　shu1　野武士　秋田　kicchi　ワン・エイト・ディスコ,・国民的キャラの評価を下げよう第二弾・ナポ男の一点豪華主義,
#176,あの頃を取り戻せ！自由研究発表会,2020/8/29,90分〜,,,トンガリ　学んでマンボ　うんこ遊び　hacchi先生　あれっ？,・ゲームソフト売り上げランキング・〇〇の常識ってどこまで,
#177,hacchiがアクションゲームを作ってきたぞ!!,2020/9/5,90分〜,hacchi,,１ヶ月２ヶ月３か月後のうんこ　学んでマンボ　ペンチマン　アクションゲームツクールMV　ピンチ&ペンチ！,・芸能人似顔絵クイズ・ゴクウが日常で界王拳を使いそうな場面・妙に覚えている曲,
#178,正解決めゲームであそぼう,2020/9/12,80分〜,,,長老　スカたん　ドヨゴレ　チキュラ　乳首回　あがりした　おっさんのヌルヌル　正解のトマト　これが良いんです　ｳﾏｲｯ!,・動画があがりした・グッズ紹介,
#179,ニコニコ年表ゲームで遊ぼう,2020/9/19,110分〜,蘭たん,,長老　ウマイッ　スカたん　正解のトマト　動画があがりした　レベル3　禿げ回　インターネット老人会　はげだんぶい,・アレの相場っていくらぐらい？・死ぬまでにやりたい些細なこと,
#180,ナポリ視聴者意識調査,2020/9/26,90分〜,,,脱骨　ガチ臭No.1　神回　蘭たん_ハゲ　謝罪マウント,・信頼できる店の待合室の本セレクション・信頼できない店の待合室の本セレクション・仲直りの仕方,
#181,SHOW2 〜デスゲームは突然に〜,2020/10/10,120分〜,,,マーダーミステリー　SHOW2　初見コメント非表示推奨　らんちゅっぱ　すーさん　八潮竹太　おたま学部　神回,shu3制作のマーダーミステリーをみんなでやろう,
#182,ナポ男のハイテンション実況選手権,2020/10/17,80分〜,,,魚肉ハラスメント　神回　実家のような安心感　ジャック・オ・ワンタン　ドブボ実況　ピカる　スケベたちが築いたsomething　鬼滅一丁,・ナポ男一週間の献立・緊急徹底討論！一番エロい県はどこだ？・俺のチャーハン,
#183,すぎるが真面目に作ってきた日常シミュレーションゲーム,2020/10/24,90分〜,,,サブリミナル地図　商業都市ジャガーン　65:42　哲学　ひろいー　高槻の鬼才　スニゲーター　迷作,・ナポ男のオススメ・ナポ男のベストヒットソング・持て余してる収納スペース,
#184,ハロウィン地獄の13企画 2020,2020/10/31,80分〜,,,地獄回　ブロッコリーチャレンジ　栗原　神回　モラル無し男　やめろ,ハロウィン名物地獄回,
#185,第２回 ナポ男のおもしろ男テスト,2020/11/7,90分〜,,,ナポ男おもしろ男テスト　あかんでアレクサ！　sho3　ご飯洗い　ウォッチミー！　くらはまシロー　すぎルールー,・ナポ男の好きなゲームBGM・飲食店の打線・好きなじじいキャラの打線,
#186,裏切者は誰だ！正体隠匿ボドゲ「タイムボム」で遊ぼう 放送ページ,2020/11/14,90分〜,,,タイムボム　湿度の伏線　警察の方ァ！　排他的なノンストの終わり　すぎる_叫び声まとめ　気骨がある　何歳ですか、6歳って。　国臭,・ナポ男の俺の打線・身の回りのものｷｬﾜ対決,
#187,帰ってきたナポ男のトモダチコレクション,2020/11/21,90分〜,,,トモダチコレクション　任天堂ゲーム配信　HAIKINさん　部位チューバー　gyu3　お父3　にとうきんさんとうきん　ランタコス,・年賀状デザイン案発表・自分がマッチョだったらやりたいこと・〇〇喫茶を考えよう・ナポ男のルーティーン,
#188,ナポ男のトリセツ,2020/11/28,100分〜,,,戻してや　金色のアザッシュ　生ブタゴリラ　豚の呼吸　オレ繊細やで？　乳首NG　sacchi　事後shu3　余所でやんのかーい,・今年のJK流行語,
#189,目指せA級！キャッチコピー王決定戦,2020/12/5,90分〜,,,なんとかシックス　炭治郎(すみじろう)　AEIOU　妙に覚えているshu3　55:43?　独りでやってるやつ,・これ勉強しときたかった・足が速い子がモテる理由・妙に覚えているもの,
#190,ちゃんと使いやすいLINEスタンプを作ろう回,2020/12/12,80分〜,,,USAは凄ェなぁ〜　LINEスタンプ　ね？　recycle_boy　エコ畜生　取り立てマン,・ゆるキャラクイズ・天気の話を限界までしよう・なんであんなの欲しかったんだろ,
#191,ナポ男たちの聖夜はこうだ,2020/12/19,80分〜,,,決めつけの刃　捕食植物ヴェルテ・アナコンダ　大したもんや　塩分過多　死orビアンカ　すぎるさんの時代あったんすか？　存在しない記憶　夢小説,・俺が着てた謎の柄物・俺の作業用〇〇・幽霊を信じるか,
#192,年末ヒットソングメドレー2020,2020/12/26,90分〜,,,年末ヒットソング回　ウエストスター☆ピーターパン　本能デトックス　hacchi_likes_apples.　恐怖的日本鯉　すぎちゃんチキン　マブダチ、オレタチ。　20歳代の声　神回,・2020年の振り返り・2020年お気に入りシーン,
#193,ナポリカレンダー2021を作ろう,2021/1/9,80分〜,,,こうなりたいか…？　ハチマゲドン　黒くしときゃいいだろ中を　ダイダラボッチ　オギ　堪忍しとうやぁ　ＬＩＮＥスタンプ,・年末年始色々ありました・スタンプランキング,
#194,新春お前どんな初夢見とんねんグランプリ,2021/1/16,90分〜,,,内太り外太り　土農工商　村人の服　ダイソン　すぎるチャレンジ　マッシュルームケース　頭脳バトル　中村玉緒　アホライアーゲーム,・芸名グランプリ・今だから言える話・牛の話,
#195,名前付けゲームであそぶわよ！,2021/1/23,100分〜,,,デジタルメガフレア　オスペイン　山岸　北大路欣也　ロシア料理　アレデル　IT兄弟　高槻山のスギル　メイメイ,・うさんくさい若社長グランプリ・この薬何に効く？,
#196,ナポ男国会答弁,2021/1/30,110分〜,,,シュレディンガーのすぎる　使い古しの雑巾　角刈り党　忍空被り　あぇ？　ケツ圧　エンタメが無い　インド人さん,・欲しかったけど買ってもらえなかったゲーム・親に似てきた話,
#197,絵でお題伝達できるかな王決定戦,2021/2/6,90分〜,,,おえかきの森　並走うんこ　マジムカつくオンライン　ダイナマイトマイク　使い古しの雑巾　慶応義塾シャツ　お風呂みたいな日本酒　ぼくちゃん　汚蘭,・今後死ぬまでにサングラスをかけるか・ロン毛はどうか・バーの常連になると思うか,
#198,バレンタインだよ！ナポ男の恋愛映画レビュー,2021/2/13,60分〜,,,※ぶつ切りは仕様　山コーヒー　ガリガリやんw　烏龍茶のみ　紅しょうが（ダッシュ板）　うめぇ　イチゴとパンどこ行った？,※放送を急遽切り上げたので動画の最後がぶつ切りになっています。トークテーマ　・漫画大賞2021について・つい買ってしまう飲み物・つい買ってしまうパン,
#199,Re: バレンタインだよ！ナポ男の恋愛映画レビュー,2021/2/20,120分〜,,,4種のキス　登山ものの山　jun3　→B　冬のソナタ　コイキングキス,・印象に残っているゲームの〇〇,
#200,,,,,,,,
